QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	#(C&I)	#C	#I	LOC	AC	EC	Abs	Ins	ND	WMC	Coverage	
java-design-patterns
<Package>com.iluwatar.eda	com.iluwatar.eda	low	low	low	low	1	1	0	8	0	1	0.0	1.0	0.0	1		
<Package>com.iluwatar.eda.event	com.iluwatar.eda.event	low	low	low	low	3	3	0	11	3	3	0.333	0.5	0.167	1		
<Package>com.iluwatar.eda.framework	com.iluwatar.eda.framework	low	low	low	low	3	1	2	18	4	0	0.667	0.0	0.333	6		
<Package>com.iluwatar.eda.handler	com.iluwatar.eda.handler	low	low	low	low	2	2	0	10	1	2	0.0	0.667	0.333	2		
<Package>com.iluwatar.eda.model	com.iluwatar.eda.model	low	low	low	low	1	1	0	4	3	0	0.0	0.0	1.0	0		
