QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
weka.core.pmml.jaxbbindings.CovariateList	CovariateList	low	low	low	low	0	2	0	1	0	4	19	8	2	0	2	0	0	1.0	0.0	1.0	0	0.0		
weka.core.pmml.jaxbbindings.DATATYPE	DATATYPE	low-medium	low	low	low	0	5	2	2	0	5	46	9	1	17	2	1	0	1.417	0.167	0.0	0	0.0		
weka.core.pmml.jaxbbindings.DELIMITER2	DELIMITER2	low-medium	low	low	low	0	5	2	2	0	5	16	9	1	2	2	1	0	1.0	0.167	0.0	0	0.0		
weka.core.pmml.jaxbbindings.DataDictionary	DataDictionary	low	low	low	low	1	7	1	1	0	10	36	20	4	0	6	0	0	0.9	0.556	0.867	0	0.0		
weka.core.pmml.jaxbbindings.DataField	DataField	low-medium	low	low-medium	low-medium	3	19	1	1	0	23	73	47	9	0	18	0	0	0.938	0.7	0.928	0	0.0		
weka.core.pmml.jaxbbindings.Decision	Decision	low	low	low	low	0	7	0	1	0	8	30	16	4	0	7	0	0	0.875	0.286	0.857	0	0.0		
weka.core.pmml.jaxbbindings.DecisionTree	DecisionTree	low-medium	low-medium	low-medium	high	8	26	0	1	0	32	108	68	14	0	26	0	0	0.966	0.867	0.963	0	0.0		
weka.core.pmml.jaxbbindings.Decisions	Decisions	low	low	low	low	0	6	0	1	0	8	31	16	4	0	6	0	0	0.9	0.333	0.867	0	0.0		
weka.core.pmml.jaxbbindings.DefineFunction	DefineFunction	low-medium	low-medium	low-medium	high	10	24	0	1	0	26	93	52	13	0	24	0	0	0.963	0.878	0.96	0	0.0		
weka.core.pmml.jaxbbindings.Delimiter	Delimiter	low	low	low	low	2	5	0	1	0	6	24	12	3	0	5	0	0	0.833	0.533	0.8	0	0.0		
weka.core.pmml.jaxbbindings.DerivedField	DerivedField	low-medium	low-medium	low-medium	high	10	28	0	1	0	30	104	61	14	0	28	0	0	0.959	0.872	0.952	0	0.0		
weka.core.pmml.jaxbbindings.DiscrStats	DiscrStats	low	low	low	low	0	4	0	1	0	6	25	12	3	0	4	0	0	0.889	0.375	0.833	0	0.0		
weka.core.pmml.jaxbbindings.Discretize	Discretize	low	low	low	low	1	10	0	1	0	12	43	24	6	0	10	0	0	0.926	0.533	0.911	0	0.0		
weka.core.pmml.jaxbbindings.DiscretizeBin	DiscretizeBin	low	low	low	low	1	5	0	1	0	6	25	12	3	0	5	0	0	0.833	0.533	0.8	0	0.0		
weka.core.pmml.jaxbbindings.DocumentTermMatrix	DocumentTermMatrix	low	low	low	low	1	3	0	1	0	4	19	8	2	0	3	0	0	0.75	0.333	0.667	0	0.0		
weka.core.pmml.jaxbbindings.Euclidean	Euclidean	low	low	low	low	0	1	0	1	0	2	12	4	1	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.core.pmml.jaxbbindings.EventValues	EventValues	low	low	low	low	0	3	0	1	0	6	26	12	3	0	3	0	0	1.0	0.0	1.0	0	0.0		
weka.core.pmml.jaxbbindings.ExponentialSmoothing	ExponentialSmoothing	low	low	low	medium-high	3	11	0	1	0	13	49	27	6	0	11	0	0	0.917	0.758	0.909	0	0.0		
weka.core.pmml.jaxbbindings.Extension	Extension	low	low	low	low	0	7	0	1	0	8	31	16	4	0	7	0	0	0.875	0.286	0.857	0	0.0		
weka.core.pmml.jaxbbindings.FIELDUSAGETYPE	FIELDUSAGETYPE	low-medium	low	low	low	0	5	2	2	0	5	26	9	1	7	2	1	0	1.313	0.167	0.0	0	0.0		
weka.core.pmml.jaxbbindings.FactorList	FactorList	low	low	low	low	0	2	0	1	0	4	19	8	2	0	2	0	0	1.0	0.0	1.0	0	0.0		
weka.core.pmml.jaxbbindings.False	False	low	low	low	low	0	1	0	1	0	2	12	4	1	0	1	0	0	0.0	0.0	0.0	0	0.0		
