QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
org.jsoup.safety.Safelist	Safelist	medium-high	low	low-medium	medium-high	5	87	47	1	0	60	293	243	5	1	16	5	0	0.667	0.728	0.692	1	0.0		
<Package>org.jsoup.select	org.jsoup.select	low-medium	low-medium	very-high	low						474	1259													
org.jsoup.select.Collector	Collector	low	low	low	low	4	26	2	1	0	5	36	13	0	0	1	2	0	0.0	0.222	0.0	0	0.0		
org.jsoup.select.CombiningEvaluator	CombiningEvaluator	low-medium	low	low-medium	low	0	9	5	2	2	6	55	13	2	0	5	0	0	0.25	0.533	0.0	0	0.0		
org.jsoup.select.Elements	Elements	very-high	low-medium	very-high	high	10	353	54	4	0	110	220	219	0	0	56	0	1	0.0	0.839	0.0	0	0.071		
org.jsoup.select.Evaluator	Evaluator	low	low	medium-high	low	1	2	0	1	30	2	424	2	0	0	2	0	0	0.0	0.25	0.0	0	0.0		
org.jsoup.select.NodeFilter	NodeFilter	low	low	low	low	1	2	0	1	1	2	10	2	0	0	2	0	0	0.0	0.0	0.0	0	0.0		
org.jsoup.select.NodeTraversor	NodeTraversor	low-medium	low-medium	low-medium	low	7	24	14	1	0	34	80	79	0	0	0	4	0	0.0	0.4	0.0	0	0.0		
org.jsoup.select.NodeVisitor	NodeVisitor	low	low	low	low	1	2	0	1	5	2	3	2	0	0	2	0	0	0.0	0.0	0.0	0	0.0		
org.jsoup.select.QueryParser	QueryParser	high	very-high	medium-high	low-medium	53	102	68	1	0	105	301	293	3	4	23	1	0	0.747	0.667	1.0	0	0.0		
org.jsoup.select.Selector	Selector	medium-high	low-medium	low	low	6	130	9	1	0	13	40	34	0	0	1	5	0	0.0	0.583	0.0	0	0.0		
org.jsoup.select.StructuralEvaluator	StructuralEvaluator	low-medium	low	low-medium	low	0	0	0	2	6	0	90	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0		
