QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
org.apache.xerces.impl.xs.opti.TextImpl	TextImpl	low	low	low	low	0	1	0	0	0	2	39	3	2	0	1	0	0	0.0	0.0	0.0	0	0.0		
<Package>org.apache.xerces.impl.xs.traversers	org.apache.xerces.impl.xs.traversers	low	low	high	low						90	6784													
org.apache.xerces.impl.xs.traversers.Container	Container	low	low	low	low	3	1	0	0	2	2	11	5	2	1	0	1	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.LargeContainer	LargeContainer	low	low	low	low	0	1	0	1	0	1	11	3	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.OneAttr	OneAttr	low	low	low	low	0	0	0	0	0	0	10	0	2	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.SchemaContentHandler	SchemaContentHandler	low	low	low-medium	low	0	6	0	0	0	17	178	58	3	0	6	0	0	0.0	0.389	1.0	0	0.0		
org.apache.xerces.impl.xs.traversers.SmallContainer	SmallContainer	low	low	low	low	0	1	0	1	0	1	13	3	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.StAXSchemaParser	StAXSchemaParser	low	low	low-medium	low	0	2	0	0	0	5	267	27	2	2	2	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSAnnotationInfo	XSAnnotationInfo	low	low	low	low	0	0	0	0	0	0	22	0	4	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSAttributeChecker	XSAttributeChecker	low	low	high	low	0	0	0	0	0	0	1035	0	2	71	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDAbstractIDConstraintTraverser	XSDAbstractIDConstraintTraverser	low	low	low-medium	low	0	0	0	0	0	0	94	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser	XSDAbstractParticleTraverser	low	low	low-medium	low	0	0	0	0	0	0	180	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser	XSDAbstractTraverser	low	low	medium-high	low	0	0	0	0	0	0	603	0	1	5	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser	XSDAttributeGroupTraverser	low	low	low-medium	low	0	0	0	0	0	0	86	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser	XSDAttributeTraverser	low	low	low-medium	low	0	0	0	0	0	0	234	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser	XSDComplexTypeTraverser	low	low	medium-high	low	0	2	0	0	0	5	720	35	6	2	2	0	0	0.375	0.0	0.0	0	0.0		
org.apache.xerces.impl.xs.traversers.XSDElementTraverser	XSDElementTraverser	low	low	low-medium	low	0	0	0	0	0	0	259	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0		
