QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
org.jfree.chart.renderer.xy.WindItemRenderer	WindItemRenderer	low-medium	low-medium	low-medium	low	9	57	19	3	0	3	63	60	0	1	3	0	0	0.0	0.6	0.0	0	0.0		
org.jfree.chart.renderer.xy.XYAreaRenderer	XYAreaRenderer	very-high	medium-high	low-medium	high	20	224	76	3	1	70	287	265	7	6	22	0	2	0.887	0.879	0.732	1	0.273		
org.jfree.chart.renderer.xy.XYAreaRenderer2	XYAreaRenderer2	very-high	medium-high	low-medium	high	18	210	64	3	1	32	171	166	2	1	12	0	1	0.667	0.858	0.556	1	0.25		
org.jfree.chart.renderer.xy.XYBarPainter	XYBarPainter	low	low	low	low	2	2	0	1	2	2	6	2	0	0	2	0	0	0.0	0.071	0.0	0	0.0		
org.jfree.chart.renderer.xy.XYBarRenderer	XYBarRenderer	very-high	high	medium-high	very-high	25	352	100	3	2	133	455	429	13	3	40	4	4	0.918	0.906	0.869	4	0.3		
org.jfree.chart.renderer.xy.XYBlockRenderer	XYBlockRenderer	very-high	medium-high	low-medium	high	16	227	37	3	0	50	183	173	8	0	19	0	2	0.806	0.87	0.699	2	0.316		
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer	XYBoxAndWhiskerRenderer	very-high	medium-high	medium-high	high	20	234	74	3	0	69	325	318	4	1	23	0	1	0.754	0.826	0.767	5	0.13		
org.jfree.chart.renderer.xy.XYBubbleRenderer	XYBubbleRenderer	very-high	medium-high	low-medium	medium-high	14	227	50	3	0	31	145	138	1	4	7	0	1	0.95	0.753	0.857	2	0.429		
org.jfree.chart.renderer.xy.XYDifferenceRenderer	XYDifferenceRenderer	very-high	high	medium-high	high	22	290	84	3	0	115	575	567	5	1	25	0	2	0.756	0.824	0.804	2	0.24		
org.jfree.chart.renderer.xy.XYDotRenderer	XYDotRenderer	high	medium-high	low-medium	high	14	178	39	3	0	30	117	111	3	1	13	0	1	0.7	0.841	0.6	1	0.231		
org.jfree.chart.renderer.xy.XYErrorRenderer	XYErrorRenderer	very-high	medium-high	low-medium	high	14	309	29	4	0	37	149	142	5	1	17	0	2	0.726	0.875	0.638	1	0.471		
org.jfree.chart.renderer.xy.XYItemRenderer	XYItemRenderer	very-high	medium-high	very-high	very-high	17	132	0	1	20	132	141	132	0	0	132	0	0	0.0	0.902	0.0	0	0.0		
org.jfree.chart.renderer.xy.XYItemRendererState	XYItemRendererState	low-medium	low	low	low-medium	2	7	0	2	6	7	23	18	4	0	7	0	0	0.8	0.629	0.762	0	0.0		
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer	XYLineAndShapeRenderer	very-high	medium-high	high	high	18	338	88	3	5	116	382	351	11	1	45	0	3	0.854	0.847	0.818	4	0.2		
org.jfree.chart.renderer.xy.XYShapeRenderer	XYShapeRenderer	very-high	medium-high	low-medium	high	20	221	50	3	0	54	188	178	7	1	25	0	3	0.806	0.891	0.784	3	0.36		
org.jfree.chart.renderer.xy.XYSplineRenderer	XYSplineRenderer	medium-high	medium-high	low-medium	medium-high	12	117	33	4	0	48	196	180	3	0	13	0	2	0.5	0.799	0.709	1	0.615		
org.jfree.chart.renderer.xy.XYStepAreaRenderer	XYStepAreaRenderer	high	medium-high	low-medium	high	12	162	41	3	0	69	212	199	7	4	19	1	0	0.903	0.84	0.836	2	0.0		
org.jfree.chart.renderer.xy.XYStepRenderer	XYStepRenderer	very-high	medium-high	low-medium	high	15	227	31	4	0	33	117	113	1	1	9	0	1	0.667	0.807	0.786	1	0.444		
org.jfree.chart.renderer.xy.YIntervalRenderer	YIntervalRenderer	very-high	medium-high	low-medium	medium-high	17	237	42	3	0	19	96	92	1	1	8	0	1	0.625	0.777	0.714	3	0.375		
<Package>org.jfree.chart.swing	org.jfree.chart.swing	medium-high	low-medium	medium-high	low						506	1918													
