QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	#(C&I)	#C	#I	LOC	AC	EC	Abs	Ins	ND	WMC	Coverage	
<Package>org.argouml.uml.diagram.static_structure.layout	org.argouml.uml.diagram.static_structure.layout	low	low-medium	medium-high	low	11	11	0	555	2	10	0.182	0.833	0.015	168		
<Package>org.argouml.uml.diagram.static_structure.ui	org.argouml.uml.diagram.static_structure.ui	medium-high	high	very-high	low	44	44	0	2737	29	36	0.068	0.554	0.378	694		
<Package>org.argouml.uml.diagram.ui	org.argouml.uml.diagram.ui	very-high	very-high	very-high	low	129	125	4	8119	138	109	0.116	0.441	0.443	2250		
<Package>org.argouml.uml.diagram.use_case	org.argouml.uml.diagram.use_case	low	low	low	low	1	1	0	188	1	1	0.0	0.5	0.5	76		
<Package>org.argouml.uml.diagram.use_case.ui	org.argouml.uml.diagram.use_case.ui	low-medium	medium-high	medium-high	low	15	15	0	963	7	13	0.0	0.65	0.35	202		
<Package>org.argouml.uml.generator	org.argouml.uml.generator	low	low	low-medium	low	8	6	2	358	4	1	0.375	0.2	0.425	105		
<Package>org.argouml.uml.generator.ui	org.argouml.uml.generator.ui	low	low	low-medium	low	2	2	0	356	3	1	0.0	0.25	0.75	101		
<Package>org.argouml.uml.reveng	org.argouml.uml.reveng	low-medium	low-medium	high	low	31	16	15	1178	6	7	0.516	0.538	0.054	344		
<Package>org.argouml.uml.reveng.ui	org.argouml.uml.reveng.ui	low	low	low	low	5	5	0	240	2	3	0.0	0.6	0.4	35		
<Package>org.argouml.uml.ui	org.argouml.uml.ui	high	high	very-high	low	123	118	5	5957	162	95	0.163	0.37	0.467	1818		
<Package>org.argouml.uml.ui.behavior.activity_graphs	org.argouml.uml.ui.behavior.activity_graphs	low	low	low	low	4	4	0	63	1	4	0.0	0.8	0.2	18		
<Package>org.argouml.uml.ui.behavior.collaborations	org.argouml.uml.ui.behavior.collaborations	low	low	low	low	2	2	0	44	1	2	0.0	0.667	0.333	14		
<Package>org.argouml.uml.ui.behavior.common_behavior	org.argouml.uml.ui.behavior.common_behavior	low	medium-high	medium-high	low	21	20	1	431	4	20	0.095	0.833	0.072	102		
<Package>org.argouml.uml.ui.behavior.state_machines	org.argouml.uml.ui.behavior.state_machines	low	medium-high	medium-high	low	21	20	1	375	3	20	0.095	0.87	0.035	93		
<Package>org.argouml.uml.ui.behavior.use_cases	org.argouml.uml.ui.behavior.use_cases	low	low-medium	low-medium	low	7	7	0	95	0	7	0.0	1.0	0.0	26		
<Package>org.argouml.uml.ui.foundation.core	org.argouml.uml.ui.foundation.core	low-medium	high	very-high	low	48	48	0	1009	4	48	0.0	0.923	0.077	281		
<Package>org.argouml.uml.ui.foundation.extension_mechanisms	org.argouml.uml.ui.foundation.extension_mechanisms	low	low	low	low	4	4	0	146	3	4	0.0	0.571	0.429	39		
<Package>org.argouml.uml.ui.model_management	org.argouml.uml.ui.model_management	low	low	low	low	3	3	0	38	0	3	0.0	1.0	0.0	10		
<Package>org.argouml.uml.util	org.argouml.uml.util	low	low	low	low	3	3	0	180	9	2	0.0	0.182	0.818	73		
<Package>org.argouml.uml.util.namespace	org.argouml.uml.util.namespace	low	low	low	low	4	2	2	109	1	0	0.5	0.0	0.5	45		
<Package>org.argouml.util	org.argouml.util	low-medium	low	medium-high	low	30	27	3	1086	91	5	0.1	0.052	0.848	377		
<Package>org.argouml.util.logging	org.argouml.util.logging	low	low	low	low	3	3	0	52	1	0	0.0	0.0	1.0	14		
<Package>org.argouml.util.osdep	org.argouml.util.osdep	low	low	low	low	3	3	0	129	4	0	0.0	0.0	1.0	32		
